iter	Passed	Remaining
0	0	94
1	2	122
2	4	141
3	5	139
4	7	149
5	9	154
6	12	160
7	13	160
8	15	160
9	17	155
10	18	152
11	20	149
12	21	142
13	22	140
14	25	142
15	26	141
16	29	143
17	31	143
18	33	142
19	34	139
20	36	137
21	38	136
22	41	138
23	43	137
24	45	136
25	48	136
26	49	133
27	50	129
28	51	126
29	52	123
30	55	122
31	56	121
32	58	118
33	59	115
34	61	113
35	62	110
36	64	108
37	65	107
38	67	105
39	70	105
40	73	105
41	74	102
42	76	101
43	79	100
44	84	103
45	87	102
46	90	101
47	92	100
48	94	98
49	99	99
50	101	97
51	103	95
52	105	93
53	106	90
54	107	88
55	109	85
56	111	83
57	112	81
58	114	79
59	116	77
60	117	75
61	118	72
62	120	70
63	121	68
64	123	66
65	124	63
66	125	61
67	126	59
68	127	57
69	128	54
70	129	52
71	130	50
72	131	48
73	133	46
74	136	45
75	137	43
76	138	41
77	139	39
78	140	37
79	141	35
80	141	33
81	142	31
82	143	29
83	144	27
84	145	25
85	145	23
86	146	21
87	147	20
88	148	18
89	148	16
90	149	14
91	150	13
92	151	11
93	152	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	156	0
