iter	Passed	Remaining
0	128	128343
1	130	65079
2	132	44087
3	135	33694
4	137	27434
5	140	23207
6	142	20219
7	144	17974
8	147	16227
9	149	14822
10	152	13701
11	155	12827
12	158	12034
13	161	11370
14	164	10772
15	166	10242
16	169	9802
17	171	9357
18	173	8972
19	175	8617
20	177	8282
21	179	7999
22	181	7703
23	182	7441
24	184	7206
25	186	6969
26	187	6746
27	189	6575
28	190	6387
29	191	6203
30	193	6047
31	195	5905
32	196	5755
33	197	5607
34	198	5473
35	199	5348
36	200	5223
37	201	5112
38	203	5008
39	204	4909
40	205	4808
41	206	4711
42	207	4618
43	208	4534
44	209	4452
45	210	4375
46	211	4295
47	212	4220
48	213	4147
49	214	4077
50	215	4015
51	216	3953
52	217	3895
53	219	3842
54	220	3784
55	221	3729
56	222	3679
57	223	3628
58	224	3576
59	225	3531
60	226	3486
61	227	3440
62	228	3397
63	229	3352
64	230	3309
65	230	3268
66	231	3228
67	232	3189
68	233	3152
69	234	3117
70	235	3082
71	236	3049
72	237	3015
73	238	2983
74	239	2950
75	240	2919
76	241	2889
77	241	2858
78	242	2829
79	243	2801
80	244	2774
81	245	2748
82	246	2719
83	247	2695
84	248	2671
85	249	2647
86	249	2622
87	250	2599
88	251	2576
89	252	2554
90	253	2535
91	254	2513
92	255	2491
93	256	2471
94	257	2450
95	258	2433
96	259	2414
97	260	2396
98	261	2377
99	262	2359
100	263	2341
101	263	2324
102	264	2307
103	265	2289
104	266	2273
105	267	2257
106	268	2240
107	269	2224
108	270	2209
109	271	2199
110	272	2184
111	273	2169
112	274	2154
113	275	2139
114	276	2124
115	277	2113
116	278	2098
117	278	2084
118	279	2071
119	280	2058
120	281	2045
121	282	2031
122	283	2019
123	284	2008
124	285	1995
125	286	1984
126	286	1970
127	287	1959
128	288	1948
129	289	1938
130	290	1927
131	291	1916
132	292	1905
133	293	1895
134	294	1884
135	295	1874
136	295	1864
137	296	1854
138	297	1844
139	298	1834
140	299	1824
141	300	1813
142	301	1804
143	302	1795
144	302	1786
145	303	1776
146	304	1767
147	305	1758
148	306	1750
149	307	1743
150	308	1735
151	309	1727
152	310	1720
153	311	1712
154	312	1704
155	313	1698
156	314	1690
157	315	1682
158	316	1674
159	317	1666
160	318	1658
161	319	1651
162	320	1643
163	321	1637
164	322	1629
165	322	1622
166	324	1616
167	324	1609
168	325	1602
169	327	1596
170	327	1589
171	328	1583
172	329	1576
173	330	1570
174	331	1564
175	332	1557
176	333	1551
177	334	1545
178	335	1538
179	336	1532
180	337	1525
181	338	1522
182	339	1515
183	341	1512
184	342	1506
185	342	1501
186	343	1495
187	344	1489
188	345	1483
189	346	1478
190	347	1472
191	348	1466
192	349	1460
193	350	1454
194	351	1449
195	352	1444
196	352	1438
197	353	1433
198	354	1427
199	355	1422
200	356	1417
201	357	1412
202	358	1409
203	359	1404
204	361	1400
205	361	1395
206	363	1391
207	364	1386
208	364	1381
209	365	1376
210	366	1371
211	367	1366
212	369	1366
213	371	1364
214	373	1361
215	374	1358
216	375	1354
217	377	1352
218	379	1353
219	381	1351
220	383	1350
221	385	1351
222	387	1350
223	389	1350
224	391	1347
225	392	1344
226	394	1342
227	396	1342
228	398	1343
229	401	1344
230	403	1344
231	406	1344
232	407	1339
233	408	1338
234	410	1335
235	411	1332
236	413	1332
237	415	1329
238	416	1327
239	419	1327
240	420	1325
241	422	1324
242	424	1322
243	425	1317
244	426	1315
245	428	1312
246	429	1309
247	431	1307
248	432	1304
249	434	1302
250	435	1298
251	436	1295
252	437	1293
253	439	1289
254	439	1285
255	441	1283
256	443	1282
257	445	1282
258	447	1279
259	449	1278
260	450	1274
261	451	1270
262	452	1267
263	453	1264
264	454	1260
265	455	1256
266	456	1252
267	457	1250
268	459	1248
269	460	1245
270	461	1242
271	462	1238
272	463	1235
273	464	1231
274	465	1228
275	466	1224
276	467	1221
277	469	1219
278	470	1216
279	471	1212
280	472	1209
281	473	1205
282	474	1202
283	475	1198
284	476	1195
285	477	1192
286	478	1189
287	479	1185
288	480	1182
289	481	1179
290	482	1175
291	483	1173
292	484	1169
293	485	1166
294	486	1162
295	487	1159
296	488	1156
297	489	1153
298	490	1150
299	491	1147
300	492	1144
301	493	1141
302	495	1138
303	496	1135
304	497	1132
305	497	1129
306	498	1125
307	499	1122
308	500	1119
309	501	1116
310	502	1113
311	503	1111
312	505	1108
313	506	1105
314	507	1104
315	508	1101
316	509	1098
317	511	1095
318	511	1092
319	513	1090
320	514	1088
321	515	1085
322	516	1082
323	517	1080
324	519	1078
325	520	1075
326	521	1073
327	522	1070
328	523	1067
329	524	1064
330	525	1062
331	526	1059
332	528	1057
333	528	1054
334	529	1051
335	530	1049
336	532	1046
337	533	1044
338	534	1042
339	535	1039
340	536	1037
341	537	1034
342	538	1031
343	539	1029
344	540	1026
345	542	1024
346	543	1022
347	544	1020
348	546	1018
349	547	1016
350	548	1014
351	549	1012
352	551	1010
353	552	1007
354	553	1004
355	553	1002
356	554	999
357	555	996
358	556	994
359	557	991
360	558	988
361	559	986
362	560	983
363	561	980
364	563	979
365	564	977
366	565	975
367	566	972
368	567	970
369	568	967
370	569	965
371	570	963
372	571	960
373	572	958
374	573	955
375	574	953
376	575	950
377	576	948
378	577	945
379	578	943
380	579	940
381	580	938
382	581	937
383	583	935
384	583	932
385	584	930
386	585	927
387	586	925
388	587	923
389	588	921
390	589	918
391	590	916
392	591	913
393	592	911
394	593	909
395	595	907
396	596	905
397	597	903
398	597	900
399	599	899
400	600	896
401	601	894
402	602	892
403	603	889
